episodes,explored_states,score
4130000,1584,-8.288000000000006
4140000,1585,-7.335000000000004
4150000,1586,-8.16900000000001
4160000,1586,-8.311000000000009
4170000,1587,-7.5990000000000055
4180000,1588,-7.791000000000005
4190000,1588,-7.819000000000009
4200000,1588,-8.086000000000007
4210000,1589,-8.069000000000008
4220000,1589,-7.578000000000006
4230000,1591,-7.430000000000003
4240000,1593,-7.797000000000006
4250000,1593,-8.143000000000008
4260000,1593,-7.796000000000007
4270000,1593,-7.602000000000008
4280000,1593,-7.504000000000004
4290000,1593,-7.947000000000003
4300000,1593,-7.631000000000005
4310000,1593,-8.252000000000004
4320000,1593,-8.205000000000007
4330000,1593,-7.839000000000007
4340000,1594,-7.429000000000006
4350000,1594,-7.625000000000005
4360000,1594,-7.812000000000007
4370000,1595,-8.180000000000003
4380000,1595,-7.777000000000006
4390000,1596,-7.810000000000009
4400000,1598,-7.361000000000007
4410000,1598,-7.610000000000006
4420000,1598,-7.582000000000006
4430000,1599,-7.329000000000008
4440000,1601,-8.237000000000009
4450000,1602,-7.658000000000008
4460000,1602,-7.3630000000000075
4470000,1603,-7.414000000000005
4480000,1603,-7.580000000000008
4490000,1603,-7.465000000000007
4500000,1604,-7.327000000000005
4510000,1605,-7.462000000000005
4520000,1606,-7.838000000000006
4530000,1606,-7.039000000000007
4540000,1606,-7.570000000000006
4550000,1606,-7.111000000000007
4560000,1606,-7.910000000000007
4570000,1606,-7.715000000000004
4580000,1606,-7.610000000000011
4590000,1606,-7.3600000000000065
4600000,1606,-7.523000000000008
4610000,1608,-7.558000000000008
4620000,1609,-7.763000000000006
4630000,1609,-7.953000000000004
4640000,1609,-6.861000000000005
4650000,1610,-7.217000000000006
4660000,1611,-7.628000000000009
4670000,1611,-7.009000000000006
4680000,1611,-7.95800000000001
4690000,1612,-7.969000000000007
4700000,1614,-7.442000000000004
4710000,1614,-7.729000000000005
4720000,1614,-7.709000000000006
4730000,1614,-7.759000000000007
4740000,1614,-7.845000000000007
4750000,1615,-8.066000000000006
4760000,1616,-8.244000000000007
4770000,1617,-7.787000000000006
4780000,1617,-7.475000000000008
4790000,1617,-8.165000000000006
4800000,1618,-7.575000000000006
4810000,1618,-7.303000000000006
4820000,1619,-7.8410000000000055
4830000,1619,-7.831000000000005
4840000,1619,-7.662000000000005
4850000,1619,-7.673000000000005
4860000,1620,-7.038000000000007
4870000,1620,-8.019000000000005
4880000,1624,-8.10200000000001
4890000,1624,-8.002000000000004
4900000,1624,-7.538000000000006
4910000,1624,-8.001000000000008
4920000,1625,-7.864000000000008
4930000,1625,-7.865000000000008
4940000,1625,-7.771000000000008
4950000,1626,-8.319000000000008
4960000,1627,-7.872000000000006
4970000,1627,-7.542000000000006
4980000,1627,-7.242000000000008
4990000,1627,-7.891000000000007
5000000,1627,-7.7870000000000035
5010000,1628,-7.735000000000008
5020000,1629,-7.980000000000007
5030000,1629,-7.810000000000006
5040000,1631,-7.894000000000005
5050000,1632,-7.631000000000011
5060000,1632,-8.105000000000008
5070000,1632,-8.020000000000007
5080000,1632,-7.4830000000000085
5090000,1632,-7.664000000000005
5100000,1632,-7.819000000000009
5110000,1632,-6.964000000000006
5120000,1633,-7.37600000000001
5130000,1635,-7.530000000000006
5140000,1636,-7.7670000000000075
5150000,1637,-7.665000000000007
5160000,1638,-7.826000000000005
5170000,1638,-7.566000000000007
5180000,1638,-7.192000000000006
5190000,1640,-7.638000000000005
5200000,1640,-7.477000000000008
5210000,1640,-7.711000000000009
5220000,1640,-8.003000000000009
5230000,1642,-7.784000000000005
5240000,1642,-7.474000000000005
5250000,1642,-7.3790000000000076
5260000,1643,-7.851000000000006
5270000,1644,-8.065000000000007
5280000,1644,-8.251000000000007
5290000,1644,-7.415000000000008
5300000,1644,-7.749000000000007
5310000,1644,-7.3410000000000055
5320000,1645,-7.888000000000006
5330000,1645,-7.6660000000000075
