episodes,explored_states,score
5410000,51691,-295.04099999999994
5420000,51718,-254.90199999999987
5430000,51738,-292.6979999999999
5440000,51758,-261.66399999999993
5450000,51784,-285.50999999999993
5460000,51804,-278.5719999999999
5470000,51829,-292.01099999999985
5480000,51851,-297.33399999999983
5490000,51871,-293.6529999999999
5500000,51886,-269.26599999999996
5510000,51912,-298.53399999999965
5520000,51934,-282.58299999999986
5530000,51952,-288.0319999999998
5540000,51971,-275.9739999999998
5550000,51982,-277.55699999999996
5560000,52009,-263.5069999999998
5570000,52028,-282.2359999999998
5580000,52046,-302.9679999999998
5590000,52078,-302.32899999999995
5600000,52097,-295.27399999999983
5610000,52109,-295.5279999999998
5620000,52125,-292.224
5630000,52139,-282.67899999999986
5640000,52160,-286.21599999999995
5650000,52170,-311.6279999999999
5660000,52193,-283.20099999999974
5670000,52202,-305.358
5680000,52220,-313.52999999999986
5690000,52244,-298.63599999999997
5700000,52263,-297.42699999999996
5710000,52279,-274.99699999999984
5720000,52304,-285.096
5730000,52322,-282.62099999999987
5740000,52338,-317.5649999999998
5750000,52358,-271.6819999999998
5760000,52377,-288.69199999999984
5770000,52403,-278.0669999999998
5780000,52427,-300.0359999999998
5790000,52439,-280.94599999999974
5800000,52464,-294.9359999999999
5810000,52487,-277.82399999999984
5820000,52500,-255.21799999999982
5830000,52521,-287.2439999999998
5840000,52543,-286.53
5850000,52551,-251.3299999999998
5860000,52570,-267.81999999999994
5870000,52589,-285.75599999999986
5880000,52608,-286.59
5890000,52623,-290.06999999999994
5900000,52643,-284.45899999999983
5910000,52658,-305.4419999999999
5920000,52671,-321.7349999999999
5930000,52689,-278.10799999999983
5940000,52714,-278.2999999999998
5950000,52732,-253.89399999999986
5960000,52744,-291.28999999999985
5970000,52765,-271.967
5980000,52789,-303.18599999999986
5990000,52808,-318.8549999999999
6000000,52826,-301.92799999999994
6010000,52843,-303.9869999999999
6020000,52855,-260.85799999999995
6030000,52876,-305.8779999999999
6040000,52898,-291.68400000000014
6050000,52913,-291.56399999999996
6060000,52924,-322.06699999999984
6070000,52938,-287.0419999999997
6080000,52950,-285.13599999999985
6090000,52968,-292.58999999999986
6100000,52979,-279.14999999999986
6110000,52996,-298.5759999999998
6120000,53009,-296.2679999999998
6130000,53022,-276.3979999999998
6140000,53029,-294.2929999999999
6150000,53037,-287.106
6160000,53045,-296.00599999999974
6170000,53057,-295.1769999999999
6180000,53071,-270.2689999999999
6190000,53097,-297.6069999999998
6200000,53118,-301.4539999999999
6210000,53132,-283.1949999999999
6220000,53149,-274.7869999999999
6230000,53162,-301.4139999999998
6240000,53181,-296.59899999999993
6250000,53193,-327.21
6260000,53208,-265.0889999999999
6270000,53223,-290.9099999999998
6280000,53234,-304.9599999999999
6290000,53250,-298.97499999999974
6300000,53267,-315.8499999999999
6310000,53287,-291.9979999999998
6320000,53300,-310.0829999999999
6330000,53321,-297.0939999999998
6340000,53337,-321.1299999999999
6350000,53347,-299.63899999999967
6360000,53353,-302.3359999999998
6370000,53364,-280.1619999999998
6380000,53374,-310.15299999999985
6390000,53385,-286.87700000000007
6400000,53399,-296.70999999999987
6410000,53412,-287.8509999999999
6420000,53424,-285.6509999999999
6430000,53436,-296.4649999999998
6440000,53448,-309.04099999999994
6450000,53458,-319.88099999999974
6460000,53472,-275.2429999999998
6470000,53482,-319.63999999999976
6480000,53499,-294.1029999999998
6490000,53514,-284.23999999999984
6500000,53529,-304.9979999999998
6510000,53539,-315.2539999999998
6520000,53555,-300.89099999999996
6530000,53571,-300.7059999999999
6540000,53579,-326.0609999999998
6550000,53588,-294.2859999999999
6560000,53601,-323.307
6570000,53610,-314.7409999999999
6580000,53621,-316.7519999999997
6590000,53633,-268.8489999999999
6600000,53643,-281.2599999999999
6610000,53654,-285.7689999999999
6620000,53668,-272.88399999999996
6630000,53680,-315.20999999999987
6640000,53685,-318.4769999999998
6650000,53694,-317.1659999999999
6660000,53706,-326.19299999999987
6670000,53713,-273.77099999999996
6680000,53722,-295.3239999999999
6690000,53733,-321.7569999999998
6700000,53744,-302.58799999999985
6710000,53757,-303.0769999999999
6720000,53763,-315.50999999999976
6730000,53784,-282.9699999999999
6740000,53794,-300.6399999999998
6750000,53813,-276.91699999999975
6760000,53824,-285.63299999999975
6770000,53831,-302.44499999999977
6780000,53841,-320.0219999999999
6790000,53850,-304.892
6800000,53865,-305.17599999999993
6810000,53875,-286.85999999999984
6820000,53883,-304.7299999999998
6830000,53894,-280.85799999999983
6840000,53909,-303.21299999999997
6850000,53926,-287.9269999999999
6860000,53933,-305.21699999999987
6870000,53944,-291.026
6880000,53954,-308.2139999999998
6890000,53961,-281.2759999999998
6900000,53966,-300.4989999999998
6910000,53971,-311.42499999999984
6920000,53977,-314.11399999999975
6930000,53984,-307.6079999999998
6940000,53999,-306.1179999999998
6950000,54005,-319.74000000000007
6960000,54011,-311.952
6970000,54024,-301.883
6980000,54034,-294.66899999999976
6990000,54046,-270.75099999999986
7000000,54062,-270.88099999999974
7010000,54075,-310.75199999999995
7020000,54078,-308.5929999999998
7030000,54088,-325.08799999999985
7040000,54091,-291.024
7050000,54100,-312.43999999999977
7060000,54109,-291.8239999999997
7070000,54116,-323.43599999999986
7080000,54122,-282.8469999999999
7090000,54125,-296.85999999999984
7100000,54129,-313.1779999999999
7110000,54136,-296.2189999999999
7120000,54145,-277.104
7130000,54157,-288.0489999999999
7140000,54169,-320.4569999999997
7150000,54175,-292.61899999999986
7160000,54185,-311.32799999999975
7170000,54194,-309.33599999999973
7180000,54210,-322.996
7190000,54218,-281.3980000000001
7200000,54230,-292.3379999999996
7210000,54239,-302.2699999999998
7220000,54252,-294.0679999999998
7230000,54258,-314.6739999999999
7240000,54269,-307.471
7250000,54282,-330.27899999999994
7260000,54295,-309.3439999999997
7270000,54304,-293.34199999999987
7280000,54318,-315.6489999999999
7290000,54326,-310.0409999999997
7300000,54339,-297.883
7310000,54348,-314.26399999999995
7320000,54355,-296.8349999999999
7330000,54370,-298.7849999999999
7340000,54378,-315.40599999999984
7350000,54387,-307.4689999999999
7360000,54401,-289.3339999999999
7370000,54407,-304.5189999999999
7380000,54419,-301.46699999999976
7390000,54426,-296.86799999999994
7400000,54443,-298.6679999999999
7410000,54451,-293.79499999999985
7420000,54458,-310.39299999999974
7430000,54467,-298.366
7440000,54478,-270.1009999999997
7450000,54490,-301.5249999999997
7460000,54498,-312.17999999999984
7470000,54512,-318.78799999999984
7480000,54521,-305.26300000000003
7490000,54533,-323.1479999999998
7500000,54545,-284.60599999999994
7510000,54554,-287.8709999999999
7520000,54564,-289.8709999999999
7530000,54581,-307.9299999999999
7540000,54588,-292.67799999999994
7550000,54596,-312.24499999999995
7560000,54608,-296.48599999999993
7570000,54615,-303.7479999999999
7580000,54626,-305.0779999999998
7590000,54632,-314.2219999999998
7600000,54643,-308.5429999999999
7610000,54651,-301.6319999999999
7620000,54659,-322.83999999999986
7630000,54669,-289.0729999999998
7640000,54676,-316.9149999999998
7650000,54690,-291.924
7660000,54697,-299.61199999999985
7670000,54705,-301.3779999999999
7680000,54713,-301.23699999999974
7690000,54718,-286.84999999999985
7700000,54725,-306.1349999999998
7710000,54730,-325.75299999999993
7720000,54740,-308.23199999999986
7730000,54754,-309.6009999999999
7740000,54767,-294.5379999999997
7750000,54778,-281.64299999999986
7760000,54789,-285.4889999999998
7770000,54795,-303.0409999999999
7780000,54800,-308.46299999999997
7790000,54810,-304.38599999999985
7800000,54819,-305.7259999999999
7810000,54830,-288.897
7820000,54840,-303.626
7830000,54849,-290.12799999999993
7840000,54857,-296.77
7850000,54866,-291.97699999999986
7860000,54876,-273.9919999999999
7870000,54885,-302.42199999999985
7880000,54890,-321.6169999999998
7890000,54899,-307.49599999999987
7900000,54905,-299.1129999999998
7910000,54911,-316.0569999999999
7920000,54923,-308.0469999999998
7930000,54931,-302.7309999999999
7940000,54940,-298.40099999999984
7950000,54946,-283.3939999999999
7960000,54952,-300.1189999999999
7970000,54961,-308.605
7980000,54969,-301.496
7990000,54974,-296.75399999999985
8000000,54979,-300.0889999999999
8010000,54984,-301.0319999999999
8020000,54991,-295.71899999999994
8030000,55004,-304.5299999999998
8040000,55014,-298.1399999999998
8050000,55023,-291.27099999999996
8060000,55037,-318.1119999999999
8070000,55051,-285.6829999999998
8080000,55060,-312.0149999999999
8090000,55071,-324.38799999999986
8100000,55081,-297.37399999999985
8110000,55085,-293.6769999999999
8120000,55095,-308.3189999999999
8130000,55101,-313.62299999999976
8140000,55108,-304.1899999999998
8150000,55117,-273.0649999999999
8160000,55125,-309.27499999999986
8170000,55141,-308.3399999999997
8180000,55152,-280.2759999999999
8190000,55163,-298.09199999999987
8200000,55173,-314.0359999999999
8210000,55176,-314.6009999999999
8220000,55186,-291.0699999999999
8230000,55191,-287.69399999999996
8240000,55200,-299.9639999999998
8250000,55204,-290.32399999999984
8260000,55214,-315.0909999999998
8270000,55228,-295.774
8280000,55240,-306.574
8290000,55248,-311.35299999999984
8300000,55253,-297.96399999999994
8310000,55265,-330.79100000000005
8320000,55275,-277.02399999999983
8330000,55279,-306.46099999999984
8340000,55294,-312.3339999999999
8350000,55304,-307.7179999999999
8360000,55309,-304.7689999999999
8370000,55319,-305.798
8380000,55325,-320.7129999999998
8390000,55333,-299.30999999999983
8400000,55336,-291.3709999999999
8410000,55344,-312.1
8420000,55358,-310.1659999999997
8430000,55369,-300.4749999999999
8440000,55378,-285.99699999999984
8450000,55385,-318.6529999999997
8460000,55392,-288.47499999999985
8470000,55394,-291.5959999999999
8480000,55400,-312.07699999999977
8490000,55410,-310.11199999999985
8500000,55427,-304.50699999999966
8510000,55439,-317.04299999999984
8520000,55452,-302.25499999999994
8530000,55460,-307.5369999999999
8540000,55467,-299.1999999999998
8550000,55479,-275.3579999999997
8560000,55483,-286.4329999999999
8570000,55495,-290.9489999999998
8580000,55500,-289.8349999999998
8590000,55513,-314.0409999999997
8600000,55524,-279.82399999999984
8610000,55534,-316.70399999999995
8620000,55538,-319.69399999999985
8630000,55542,-297.80099999999993
8640000,55554,-312.0649999999998
8650000,55563,-297.4329999999998
8660000,55567,-303.12199999999984
8670000,55576,-328.7029999999998
8680000,55586,-304.34
8690000,55593,-291.56199999999984
8700000,55600,-293.0699999999998
8710000,55609,-281.846
8720000,55613,-307.876
8730000,55626,-292.7499999999999
8740000,55636,-320.6419999999999
8750000,55645,-282.5769999999999
8760000,55654,-311.59599999999983
8770000,55660,-302.9749999999999
8780000,55668,-313.2769999999997
8790000,55676,-308.3729999999998
8800000,55683,-288.7039999999999
